Concept
TU discontinu individuel
TU discontinu collectif
zone Bâtie continue
route
chemin
chemin de fer
route Grande vitesse
autre route
parking
zone aéroportuaire
ilot de circulation
zone extraction
zone Carrière
chaussées
TU pavillonaire
cité pavillonaire
banlieue pavillonaire
Bati collectif
TU de type grand ensemble
voie de communication
sentier
piste
métro
tramway
autoroute
réseau secondaire
route nationale
route départementale
tunnel
aire de stationnement
parc de stationnement
rond point
giratoire
intersection
ouvrage d'art
aqueduc
viaduc
gravière
sablière
terrils
activités minières
gazon
maraichage familial
jardin privatif
jardin individuel
parc d'agglomération
jardin public
square
haie urbain
bosquet
bois
