Concept
atelier
maçonnerie
bâtiment d'exploitation
bati
édifice
surface en eau artificielle
building
artificialisation autre
hangar
habitation
bâtiment industriel
navire
construction
phares
bâtiment
espaces forestiers et naturels
immeuble
étendue d'eau naturelle
armature
charpenté
constitué
découplé
maison
surface en eau naturelle
habitat
structure artificielle
dispositif de sécurité
espaces agricoles
conformé
bâtisse
