Concept
cavité
futaie
clairière
aqueduc
purgatoire
réseau secondaire
batiste
bocage
vert
galerie
parcage
structure de protection
forêt
rond-point
trolleybus
rue
tonnelle
chaussée
zone aéroportuaire
sente
bifurcation
charmille
fagot
terrier
pelouse
trolley
route Grande vitesse
chemin de fer métropolitain
terrain
plantation
croisée
sape
route nationale
itinéraire
autopiste
ponts
de courses
verdure
souterrain
corne
boqueteau
entrecoupement
Parking
bois de chauffage
voie de communication
massif
champ
tunnel
banlieue pavillonaire
parc
bois de distillation
boulingrin
route
passage
nœud
positivement
viaduc
jardin individuel
layon
ressource
train
square
tram
trou
comble
entrecroisement
allée
oliveraie
coupement
métro
bosquet
indication
canal
jardin public
corridor
carrefour
chaussées
voie
avenue
jardin
conduite
parc de stationnement
tramway
menuiserie
produit forestier
gazon
virette
gazonner
érablière
autre route
chemin de fer
aérodrome
xyste
bois
circulaire
TU pavillonaire
TU de type grand ensemble
TU discontinu collectif
place
rink
bois amélioré
antiprotozoaire
sentier équestre
parc d'agglomération
bois débité
breuil
carré
trouée
stationner
métropolitain
trajet
routier
garage
charpente
ilot de circulation
gravière
TU discontinu individuel
aire de stationnement
carrière
giratoire
zone Carrière
foulée
crassier
intersection
pré
grande route
terrils
haie urbain
stationnement
abattage
buisson
sentier
rame
ramure
stade
maraichage familial
ouvrage d'art
parcours
autoroute
Route publique
verger
Bati collectif
Route forestière
Graminée à gazon
quinconce
embranchement
piste
herbe
Infrastructure de transport
cité pavillonaire
cirque
pont
tournant
antre
convergence
sablière
fourche
pénétrante
banquette
trafic
voyage
activités minières
jardin privatif
sablonnière
route départementale
percée
couverture du sol
téléphérique
zone extraction
croisement
chemin
jardin public
poutre
aire de stationnement
tortille
bois de charpente
rond point
cunette
parking
cavée
matériau
charpenterie
zone Bâtie continue
bûche
arbre de haute tige
entrepôt
hébergement
parc résidentiel de loisirs
PRL
caravanes
hébergement hôtelier
industrie
bureaux et services
commerce
transport de voyageur
transport de marchandises
habitation légère de loisirs
terrain de camping
logements aidés
exploitation forestière
exploitation agricole
résidences mobiles de loisirs
emprise au sol
limites séparatives
habitation
Construction et installation nécessaires aux services publics
Construction et installation nécessaires d'intérêt collectif
Locaux nécessaires aux services publics
ilot
coefficient d'emprise au sol
