Concept
objet
surface
surface artificialisees
Bati
Bâti résidentiel
TU discontinu
TU discontinu individuel
Pavillon
TU discontinu collectif
Bâtiment collectif
Bâtiment de l’habitat collectif discontinu
TU continu
Zone Bâtie continue
Pavillon
Bâtiment collectif
Bâti activité 
Batiment activité
Zone industrielle
Zone commerciale
Zone tertiaire
Batiment rural
Serre
Artificialisation autre
Cimetière
Place
Sol Nu
Terrain de sport
Piscine extérieur
Batiment Autre
Zone aéroportuaire
Zone sportif loisir
Infrastructure de transport
Voie de communication
Route
Chemin
Chemin de fer
surfaces artificialisées
Route Grande vitesse
Autre route
Equipement transport
Parking
Zone aéroportuaire
Ilot de circulation
Zone extraction / Carrière
Végétation urbaine
Arbre
Pelouse
Jardin
Parc
Alignement d’arbre
Ensemble d’arbre
Espaces agricoles
Parcelle agricole 
Vigne
Surface herbeuse agricole
Culture Autre
Element boisé agricole
Verger
Alignement d'arbre agricole
Groupe d'arbres agricoles
Végétation agricole
Haie
Espaces forestiers et naturels
Forêt
Espace libre naturel
Sable
Zones Humides
Végétation autre
Surface herbeuse naturelle
Surface en eau
Surface en eau artificielle
bassin artificiel
canal
surface
eau
surface en eau naturelle
cours d'eau
étendue d'eau naturelle
