Concept
étendard
commodité
chartreuse
habitation
ermitage
maisonnette
drapeau
bannière
chalet
pavillon
bungalow
bâtiment collectif
facilité
convenance
villa
bâtiment de l'habitat collectif discontinu
clairevoie
annexes
extension
cours urbaine
essence locale
surface de plancher
coefficient d'occupation du sol (COS)
