Concept
bâti résidentiel
bâti activité
serre
infrastructure de transport
parcelle agricole
element boisé agricole
végétation agricole autre
forêt
espace libre naturel
zones Humides
végétation autre
etendue d'eau
canal
cours d'eau
bassin artificiel
bâtiment agricole
bâtiment commercial
bâtiment industriel
supermarché
commerces
entrepot
hangar
usine
coopérative
atelier
GMS (grandes et moyennes surfaces)
grandes surfaces
moyennes surfaces
élevage
terre agricole
terrain en jachère
terres arables
sylviculture
culture agroforestière
cultures maraichères
végétation arbusive
forêt fermée conifères
forêt fermée feuillus
forêt fermée mixte
forêt fermée sans couvert arboré
forêt ouverte conifères
forêt ouverte feuillus
forêt ouverte mixte
massif forestier
boisement
bois
bosquet
bois
bosquet
zone forestière
roche nues
falaise
eboulie
zones incendiées
tourbière
marais
rieds
marécages
marais salant
landes
brousaille
maquis
bassin portuaire
bassin de rétention
réserves artificielle
retenue hydroélectrique
chenal artificiel
canal
rigole
rivière
fleuve
ruisseau
chenal
torrent
eau douce
eau salée
eau saumatre
lac
mer
ocean
mare
étang
surface en eau stagnante
lagune
affluent
estuaire


