Concept
pratique culturale
batiment Autre
arbre fixateur d'azote
aquaculture
situation
ouche
peuplement
fonds
fraction du sol
exploitation agricole collective
robuste
prairie
charmille
champ barotrope
campement
entreprise
propriété
formation herbacées
dispensaire
paturage
arbre forestier
batiment activité
voie de communication
champ électrique
champ
foin
roche
plante fruitière
entrailles
surface en herbe
eau récréative
développement de l’aquaculture
oliveraie
pâturages
cathédrale
ballast
entrepôt
activités primaires
atelier
clôture
culture en mélange
pâture
Semencier
cultivars miniatures
bois
friche
alimentation des animaux
place
replantation
runnels
breuil
sable fin
clos
vignoble
chênaie
labour
mode barocline
section
sphère
système aquacole
piscine extérieur
buisson
terrassement
charnier
rangée
édifice
baragne
fruitier
herbage
parc d'attraction
garenne
Cimetière
emprise ferroviaire
hospice
vilebrequin
gravillon
ossuaire
mausolée
terrain de sport
usage
cran
talus
sable
poste
haie
travail du bois
sol Nu
brise-vent
position
système de culture
gravelle
polyclinique
créneau
station de traitement de l'eau
étendue
céréalière
fermage
ley farming
zone aéroportuaire
aliment pour animaux
exploitation agricole moyenne
partie
industrie
loisir
terrain
camp
protection de la santé
remblais
equipement transport
boqueteau
columbarium
localisation
fabrique
usine
clinique vétérinaire
repiquage
rivage
pature
eau superficielle
golf
prairie mixte
arbre
square
terrain de foot
surface gelées
mémorial
bain de mer
bosquet
basilique
sanatorium
terrains de sport
remblayage
plantation en lignes
plante ligneuse
plage
exploitation maraîchère
plantation par bouquets
scie
gazon
terre de pâturage
feuillu
éducation
sablon
billot
entourage
végétal
bagage
bagne
zone protégée
fromager
cépage
application
système de pâturage
sépulcre
charge solide en matériaux charriés
fixe
comportement alimentaire
pâturage
carrière
côte
hôpital
segment
pré
antenne chirurgicale
premier secours
pampre
champ de courses
instruction
turf
fruitière
broussaille
tronçon
domaine
campagne
catacombe
ressource génétique
herbe
cirque
terre
structure embryonnaire
pâtis
recherche de nourriture
arbre fruitier
pinède
magasin
golfe de Botnie
lieu
exploitation agricole privée
beige
protection des plantes
habitude
futaie
bocage
jardinage
semis en poquet
clinique
coteau
variété à haut rendement
prairie artificielle
exploitation agricole familiale
estomac
arbre pour bois de construction
entage
tin
gravier
fétuque
golfe de Californie
h
embouche
prairie temporaire
pelouse pastorale
nécropole
arborescence
plantation
ferme
arène
solide
fabrication de briquettes
sédiment sans cohésion
bord de mer
age
alpage
exploitation
hallier
châtaigneraie
littoral
pâturage saisonnier
golfe de l'Asinara
variété naine
statue
bazar
surface herbeuse agricole
golfe d'alaska
pavé
moissine
surface herbeuse naturelle
archives
jardin
caravaning
variété introduite
hôtel-Dieu
mouroir
fraction
cimetière
hosto
arçon
monument
résistant
treille
occupation
dent creuse
tombeau
zone commerciale
hopital
terrain de tennis
pierre
tige
plante
agence
technique de culture
végétation alpine
exploitation agricole
caillou
institutions publiques
crypte
verger
culture hydroponique
fonction
peuplement forestier
chantiers
zone sportif loisir
emplacement
piste
exploitation agricole
opiniâtre
fourrage
vaillant
appel
TU discontinu
cormus
traitement
variété mixte
tourisme
culture Autre
terre humide
champ (physique)
rizière
site
reptile aquatique
oléoduc
mode de culture
tendre
bocager
baignade
emploi
essieu
tripes
phénomène physique
champ de densité
laps
variété synthétique
chaussée
double repiquage
zone tertiaire
arbre à buts multiples
camposanto
grâce
hippodrome
faire-valoir
accrétion de la plage
noeud
humanisme
surf
emprise routière
verdure
fruiterie
bois de greffe
énergique
culture
culot
roulette
TU continu
bâtiment collectif
hardi
sainfoin
lande
zone industrielle
ERP
noir
lambrusque
batiment rural
manufacture
plaine
variété indigène
ferme d'élevage
steppe
morceau
raisin
maison de santé
érosion des plages
sable grossier
métier
fourchette
pacage
érablière
monoculture (aquaculture)
terrain de camping
vigne
galets
marais de marée
empotage
calcul
management
plantation d'enrichissement
branche
épicotyle
portion
terre cultivée
exploitation agricole d'état
groupe d'arbres agricoles
emprises militaires
manivelle
plantation haute densité
tenace
ramification
poncer
exploitation piscicole
arbre de rue
zoologie des vertébrés
alignement d'arbre agricole
variété apyrène
boussole
camping
terrain multisport
bielle
exploitation agricole marginale
plage surélevée
prairie naturelle
cep
roche mère
fruitiers
environnement linguistique
champ barocline
cénotaphe
marine
dépôt
bouchure
travers
axe
barrier beaches
surface en eau naturelle
villa
arbuste
prairie permanente
arsenal
sable moyen
arbre brise-vent
sarment
